カテゴリ,物件名,住所,最寄りのアクセス_1,最寄りのアクセス_2,最寄りのアクセス_3,築年数,階数,階,家賃,管理費,敷金,礼金,間取,面積,URL
賃貸マンション,ヴィラパーク本町,和歌山県和歌山市南桶屋町,ＪＲ阪和線/和歌山駅 歩23分,ＪＲ紀勢本線/和歌山市駅 歩10分,ＪＲ紀勢本線/紀和駅 歩17分,築36年,9階建,7階,7.5万円,-,-,-,3LDK,57.16m2,https://suumo.jp/chintai/jnc_000065447794/?bc=100295919649
賃貸アパート,ＪＲ紀勢本線 宮前駅 3階建 築2年,和歌山県和歌山市手平３,ＪＲ紀勢本線/宮前駅 歩3分,わかやま電鉄貴志川線/田中口駅 歩22分,ＪＲ阪和線/和歌山駅 歩27分,築2年,3階建,1階,6.9万円,5000円,-,12万円,1LDK,46.85m2,https://suumo.jp/chintai/jnc_000084949111/?bc=100343662274
賃貸アパート,フェール ブリエ,和歌山県和歌山市手平３,ＪＲ紀勢本線/宮前駅 歩3分,わかやま電鉄貴志川線/田中口駅 歩22分,ＪＲ阪和線/和歌山駅 歩27分,築2年,3階建,1階,6.9万円,5000円,-,12万円,1LDK,46.85m2,https://suumo.jp/chintai/jnc_000084949110/?bc=100343548882
賃貸アパート,マイルドディアスきし,和歌山県和歌山市向,南海加太線/東松江駅 歩21分,南海加太線/中松江駅 歩28分,南海本線/紀ノ川駅 歩34分,築28年,2階建,2階,4万円,3000円,-,-,2DK,42.8m2,https://suumo.jp/chintai/jnc_000030049144/?bc=100333662805
賃貸マンション,ハイツ紀ノ国,和歌山県和歌山市湊通丁南１,南海本線/和歌山市駅 歩20分,ＪＲ阪和線/和歌山駅 バス13分 (バス停)真砂町 歩5分,ＪＲ紀勢本線/宮前駅 歩36分,築35年,3階建,3階,5.9万円,4000円,-,-,3DK,54.5m2,https://suumo.jp/chintai/jnc_000079368418/?bc=100346501076
賃貸マンション,ハイツ紀ノ国,和歌山県和歌山市湊通丁南１,南海本線/和歌山市駅 歩20分,ＪＲ阪和線/和歌山駅 バス13分 (バス停)真砂町 歩5分,ＪＲ紀勢本線/宮前駅 歩36分,築35年,3階建,3階,5.9万円,4000円,-,-,3DK,54.5m2,https://suumo.jp/chintai/jnc_000079368417/?bc=100346221379
賃貸アパート,ＪＲ阪和線 紀伊駅 2階建 築15年,和歌山県和歌山市西田井,ＪＲ阪和線/紀伊駅 歩25分,ＪＲ和歌山線/田井ノ瀬駅 歩36分,ＪＲ和歌山線/千旦駅 歩56分,築15年,2階建,1階,4.8万円,3000円,4.8万円,-,1K,30.9m2,https://suumo.jp/chintai/jnc_000081874510/?bc=100324870889
賃貸アパート,ＪＲ阪和線 紀伊駅 2階建 築15年,和歌山県和歌山市西田井,ＪＲ阪和線/紀伊駅 歩25分,ＪＲ和歌山線/田井ノ瀬駅 歩36分,ＪＲ和歌山線/千旦駅 歩56分,築15年,2階建,1階,4.9万円,3000円,4.9万円,-,1K,30.96m2,https://suumo.jp/chintai/jnc_000041951152/?bc=100342985831
賃貸アパート,ＪＲ阪和線 紀伊駅 2階建 築15年,和歌山県和歌山市西田井,ＪＲ阪和線/紀伊駅 歩25分,ＪＲ和歌山線/田井ノ瀬駅 歩36分,ＪＲ和歌山線/千旦駅 歩56分,築15年,2階建,2階,5.7万円,4000円,5.7万円,-,1LDK,45.63m2,https://suumo.jp/chintai/jnc_000053830060/?bc=100338671698
賃貸アパート,ＪＲ阪和線 紀伊駅 2階建 築15年,和歌山県和歌山市西田井,ＪＲ阪和線/紀伊駅 歩25分,ＪＲ和歌山線/田井ノ瀬駅 歩36分,ＪＲ和歌山線/千旦駅 歩56分,築15年,2階建,1階,5.7万円,4000円,5.7万円,-,1LDK,45.63m2,https://suumo.jp/chintai/jnc_000051390448/?bc=100315052590
賃貸アパート,ＪＲ阪和線 紀伊駅 2階建 築15年,和歌山県和歌山市西田井,ＪＲ阪和線/紀伊駅 歩25分,ＪＲ和歌山線/田井ノ瀬駅 歩36分,ＪＲ和歌山線/千旦駅 歩56分,築15年,2階建,2階,6.1万円,4000円,6.1万円,-,1LDK,45.63m2,https://suumo.jp/chintai/jnc_000041934956/?bc=100338671704
賃貸アパート,セジュールのざき　Ｃ棟,和歌山県和歌山市野崎,南海本線/和歌山市駅 歩25分,南海本線/紀ノ川駅 歩22分,南海加太線/東松江駅 歩22分,築37年,2階建,2階,4.8万円,-,-,-,1LDK,37.12m2,https://suumo.jp/chintai/jnc_000083192162/?bc=100346471623
賃貸アパート,メゾンアルバソーレ,和歌山県和歌山市塩屋３,南海本線/和歌山市駅 バス21分 (バス停)塩屋 歩5分,ＪＲ阪和線/和歌山駅 バス22分 (バス停)塩屋 歩5分,,築26年,2階建,1階,5万円,3000円,-,-,2LDK,51.79m2,https://suumo.jp/chintai/jnc_000031006171/?bc=100333663327
賃貸アパート,ＪＲ紀勢本線 宮前駅 2階建 築26年,和歌山県和歌山市塩屋３,ＪＲ紀勢本線/宮前駅 歩31分,ＪＲ紀勢本線/紀三井寺駅 歩32分,わかやま電鉄貴志川線/竈山駅 歩44分,築26年,2階建,1階,5万円,3000円,-,-,2LDK,51.79m2,https://suumo.jp/chintai/jnc_000042232181/?bc=100325917205
賃貸マンション,聖－ソレイユビル,和歌山県和歌山市本町２,ＪＲ紀勢本線/和歌山市駅 歩12分,南海本線/和歌山市駅 歩12分,南海和歌山港線/和歌山市駅 歩12分,築32年,8階建,3階,5.6万円,5000円,-,5.6万円,1K,36.89m2,https://suumo.jp/chintai/jnc_000083201275/?bc=100346471265
賃貸マンション,聖－ソレイユビル,和歌山県和歌山市本町２,ＪＲ紀勢本線/和歌山市駅 歩12分,南海本線/和歌山市駅 歩12分,南海和歌山港線/和歌山市駅 歩12分,築32年,8階建,8階,5.7万円,5000円,-,5.7万円,1K,36.5m2,https://suumo.jp/chintai/jnc_000082986490/?bc=100339731310
賃貸アパート,ＪＲ阪和線 紀伊中ノ島駅 2階建 築28年,和歌山県和歌山市松島,ＪＲ阪和線/紀伊中ノ島駅 歩28分,ＪＲ和歌山線/田井ノ瀬駅 歩31分,ＪＲ阪和線/和歌山駅 歩44分,築28年,2階建,2階,4.2万円,3300円,-,-,3DK,52.05m2,https://suumo.jp/chintai/jnc_000082687120/?bc=100329686339
賃貸アパート,ベルドール松房,和歌山県和歌山市松島,ＪＲ阪和線/紀伊中ノ島駅 歩28分,ＪＲ和歌山線/田井ノ瀬駅 歩31分,ＪＲ阪和線/和歌山駅 歩44分,築28年,2階建,2階,4.2万円,3300円,-,-,3DK,52.05m2,https://suumo.jp/chintai/jnc_000082679977/?bc=100329642935
賃貸アパート,ＪＲ阪和線 紀伊中ノ島駅 2階建 築28年,和歌山県和歌山市松島,ＪＲ阪和線/紀伊中ノ島駅 歩28分,ＪＲ阪和線/六十谷駅 歩30分,ＪＲ和歌山線/田井ノ瀬駅 歩32分,築28年,2階建,2階,4.2万円,3300円,-,-,3DK,52.05m2,https://suumo.jp/chintai/jnc_000082679978/?bc=100331655756
賃貸アパート,小雑賀ハイツI,和歌山県和歌山市小雑賀,ＪＲ紀勢本線/宮前駅 歩17分,ＪＲ紀勢本線/紀三井寺駅 歩30分,ＪＲ紀勢本線/和歌山市駅 バス28分 (バス停)南宇須 歩3分,築45年,2階建,2階,3.9万円,3000円,-,5万円,1LDK,33.06m2,https://suumo.jp/chintai/jnc_000084774226/?bc=100342527497
賃貸アパート,小雑賀ハイツI,和歌山県和歌山市小雑賀,ＪＲ紀勢本線/宮前駅 歩17分,ＪＲ紀勢本線/紀三井寺駅 歩30分,ＪＲ紀勢本線/和歌山市駅 バス28分 (バス停)南宇須 歩3分,築45年,2階建,2階,3.9万円,3000円,-,5万円,1LDK,33.06m2,https://suumo.jp/chintai/jnc_000084494060/?bc=100346473631
賃貸アパート,小雑賀ハイツI,和歌山県和歌山市小雑賀,ＪＲ紀勢本線/宮前駅 歩17分,ＪＲ紀勢本線/紀三井寺駅 歩30分,ＪＲ紀勢本線/和歌山市駅 バス28分 (バス停)南宇須 歩3分,築45年,2階建,2階,3.9万円,3000円,-,5万円,1LDK,33.06m2,https://suumo.jp/chintai/jnc_000080140418/?bc=100346478333
賃貸アパート,小雑賀ハイツI,和歌山県和歌山市小雑賀,ＪＲ紀勢本線/宮前駅 歩17分,ＪＲ紀勢本線/紀三井寺駅 歩30分,ＪＲ紀勢本線/和歌山市駅 バス28分 (バス停)南宇須 歩3分,築45年,2階建,1階,3.9万円,3000円,-,5万円,1LDK,33.06m2,https://suumo.jp/chintai/jnc_000080140417/?bc=100346478124
賃貸マンション,グランメール美園,和歌山県和歌山市美園町３,ＪＲ阪和線/和歌山駅 歩6分,わかやま電鉄貴志川線/田中口駅 歩11分,ＪＲ紀勢本線/紀和駅 歩26分,築34年,8階建,5階,7万円,6000円,-,-,2LDK,53.94m2,https://suumo.jp/chintai/jnc_000083495082/?bc=100308310616
賃貸マンション,グランメール美園,和歌山県和歌山市美園町３,ＪＲ阪和線/和歌山駅 歩6分,わかやま電鉄貴志川線/田中口駅 歩11分,ＪＲ紀勢本線/紀和駅 歩26分,築34年,8階建,7階,7.8万円,6000円,-,-,3LDK,62.37m2,https://suumo.jp/chintai/jnc_000055975581/?bc=100346664683
賃貸アパート,ＪＲ紀勢本線 黒江駅 2階建 築13年,和歌山県和歌山市毛見,ＪＲ紀勢本線/黒江駅 歩36分,ＪＲ紀勢本線/海南駅 歩40分,ＪＲ紀勢本線/紀三井寺駅 歩41分,築13年,2階建,1階,4.6万円,2200円,-,4.6万円,2DK,45.89m2,https://suumo.jp/chintai/jnc_000084087001/?bc=100338730476
賃貸マンション,アメニティ松ヶ丘,和歌山県和歌山市松ケ丘１,ＪＲ紀勢本線/宮前駅 歩35分,,,築30年,3階建,1階,6万円,5000円,-,6万円,3LDK,59.66m2,https://suumo.jp/chintai/jnc_000049962503/?bc=100346478902
賃貸アパート,ＨＯＬＬｉ,和歌山県和歌山市布引,ＪＲ紀勢本線/紀三井寺駅 歩20分,,,築17年,2階建,1階,5.2万円,5500円,-,-,ワンルーム,30.03m2,https://suumo.jp/chintai/jnc_000083641778/?bc=100346471968
賃貸アパート,ＪＲ紀勢本線 紀三井寺駅 2階建 築17年,和歌山県和歌山市布引,ＪＲ紀勢本線/紀三井寺駅 歩15分,ＪＲ紀勢本線/黒江駅 歩42分,ＪＲ紀勢本線/宮前駅 歩54分,築17年,2階建,1階,5.2万円,5500円,-,-,ワンルーム,30.03m2,https://suumo.jp/chintai/jnc_000083641779/?bc=100335558402
賃貸アパート,南海加太線 東松江駅 2階建 築15年,和歌山県和歌山市中野,南海加太線/東松江駅 歩19分,南海加太線/中松江駅 歩23分,南海本線/和歌山大学前駅 歩34分,築15年,2階建,1階,3.3万円,6500円,-,-,1K,23.18m2,https://suumo.jp/chintai/jnc_000085106418/?bc=100342736170
賃貸アパート,南海加太線 東松江駅 2階建 築15年,和歌山県和歌山市中野,南海加太線/東松江駅 歩19分,南海加太線/中松江駅 歩23分,南海本線/和歌山大学前駅 歩34分,築15年,2階建,1階,3.8万円,6500円,-,-,1K,23.18m2,https://suumo.jp/chintai/jnc_000083333532/?bc=100204547022
賃貸アパート,南海加太線 東松江駅 2階建 築15年,和歌山県和歌山市中野,南海加太線/東松江駅 歩19分,南海加太線/中松江駅 歩23分,南海本線/和歌山大学前駅 歩34分,築15年,2階建,1階,3.8万円,6500円,-,-,1K,23.1m2,https://suumo.jp/chintai/jnc_000083333531/?bc=100294480896
賃貸アパート,南海加太線 東松江駅 2階建 築15年,和歌山県和歌山市中野,南海加太線/東松江駅 歩19分,南海加太線/中松江駅 歩23分,南海本線/和歌山大学前駅 歩34分,築15年,2階建,2階,4万円,6500円,-,-,1K,23.18m2,https://suumo.jp/chintai/jnc_000083333534/?bc=100333620275
賃貸アパート,南海加太線 東松江駅 2階建 築15年,和歌山県和歌山市中野,南海加太線/東松江駅 歩19分,南海加太線/中松江駅 歩23分,南海本線/和歌山大学前駅 歩34分,築15年,2階建,2階,4万円,6500円,-,-,1K,23.1m2,https://suumo.jp/chintai/jnc_000083333535/?bc=100333620276
賃貸マンション,ＮＮビル,和歌山県和歌山市西浜,南海和歌山港線/和歌山港駅 歩43分,,,築42年,3階建,1階,3万円,-,-,-,ワンルーム,22m2,https://suumo.jp/chintai/jnc_000082622143/?bc=100329359795
賃貸マンション,ＮＮビル,和歌山県和歌山市西浜,南海和歌山港線/和歌山港駅 歩43分,,,築42年,3階建,3階,5万円,-,-,-,4LDK,81.06m2,https://suumo.jp/chintai/jnc_000081230890/?bc=100312484577
賃貸マンション,ＮＮビル,和歌山県和歌山市西浜,南海和歌山港線/和歌山港駅 歩43分,,,築42年,3階建,3階,5.5万円,-,-,-,4LDK,81.06m2,https://suumo.jp/chintai/jnc_000082253238/?bc=100346479508
賃貸アパート,ＪＲ和歌山線 田井ノ瀬駅 2階建 築10年,和歌山県和歌山市出島,ＪＲ和歌山線/田井ノ瀬駅 歩18分,ＪＲ阪和線/紀伊中ノ島駅 歩34分,わかやま電鉄貴志川線/日前宮駅 歩39分,築10年,2階建,1階,4.2万円,3900円,-,4.2万円,ワンルーム,33.31m2,https://suumo.jp/chintai/jnc_000084228222/?bc=100339281971
賃貸マンション,Ｂｅｌｉｆｅ南雑賀,和歌山県和歌山市南雑賀町,ＪＲ紀勢本線/紀和駅 歩14分,南海本線/和歌山市駅 歩17分,わかやま電鉄貴志川線/和歌山駅 歩17分,築34年,7階建,5階,3.9万円,-,-,-,1K,30m2,https://suumo.jp/chintai/jnc_000084707926/?bc=100346535484
賃貸マンション,ＪＲ紀勢本線 紀和駅 7階建 築34年,和歌山県和歌山市南雑賀町,ＪＲ紀勢本線/紀和駅 歩14分,南海本線/和歌山市駅 歩17分,わかやま電鉄貴志川線/和歌山駅 歩17分,築34年,7階建,5階,3.9万円,-,-,-,1K,30m2,https://suumo.jp/chintai/jnc_000084707927/?bc=100346559411
賃貸マンション,パリ・シャトー本町,和歌山県和歌山市屋形町１,ＪＲ紀勢本線/和歌山市駅 歩16分,ＪＲ紀勢本線/紀和駅 歩19分,ＪＲ阪和線/和歌山駅 歩20分,築37年,14階建,9階,4.6万円,6000円,4.6万円,4.6万円,1K,23.61m2,https://suumo.jp/chintai/jnc_000083379961/?bc=100333895833
賃貸マンション,パリ・シャトー本町,和歌山県和歌山市屋形町１,ＪＲ紀勢本線/和歌山市駅 歩16分,ＪＲ紀勢本線/紀和駅 歩19分,ＪＲ阪和線/和歌山駅 歩20分,築37年,14階建,9階,4.6万円,6000円,4.6万円,4.6万円,1K,23.61m2,https://suumo.jp/chintai/jnc_000082111393/?bc=100346473957
賃貸マンション,パリ・シャトー本町,和歌山県和歌山市屋形町１,ＪＲ紀勢本線/和歌山市駅 歩16分,ＪＲ紀勢本線/紀和駅 歩19分,ＪＲ阪和線/和歌山駅 歩20分,築37年,14階建,3階,4.7万円,6000円,4.7万円,4.7万円,1K,23.61m2,https://suumo.jp/chintai/jnc_000043709938/?bc=100346470645
賃貸マンション,パリ・シャトー本町,和歌山県和歌山市屋形町１,ＪＲ紀勢本線/和歌山市駅 歩16分,ＪＲ紀勢本線/紀和駅 歩19分,ＪＲ阪和線/和歌山駅 歩20分,築37年,14階建,8階,4.9万円,6000円,4.9万円,4.9万円,1K,25.94m2,https://suumo.jp/chintai/jnc_000083226842/?bc=100343659957
賃貸マンション,パリ・シャトー本町,和歌山県和歌山市屋形町１,ＪＲ紀勢本線/和歌山市駅 歩16分,ＪＲ紀勢本線/紀和駅 歩19分,ＪＲ阪和線/和歌山駅 歩20分,築37年,14階建,9階,5.3万円,6000円,5.3万円,5.3万円,1DK,30.31m2,https://suumo.jp/chintai/jnc_000074245254/?bc=100344184875
賃貸マンション,パリ・シャトー本町,和歌山県和歌山市屋形町１,ＪＲ紀勢本線/和歌山市駅 歩16分,ＪＲ紀勢本線/紀和駅 歩19分,ＪＲ阪和線/和歌山駅 歩20分,築37年,14階建,6階,6.1万円,7000円,6.1万円,6.1万円,2DK,41.61m2,https://suumo.jp/chintai/jnc_000082111392/?bc=100346472493
賃貸マンション,ＪＲ和歌山線 和歌山駅 3階建 築3年,和歌山県和歌山市黒田,ＪＲ和歌山線/和歌山駅 歩10分,ＪＲ阪和線/紀伊中ノ島駅 歩13分,南海本線/和歌山市駅 歩37分,築3年,3階建,3階,6.6万円,5000円,6.6万円,6.6万円,1K,30.01m2,https://suumo.jp/chintai/jnc_000059347678/?bc=100345325623
賃貸マンション,ＪＲ和歌山線 和歌山駅 3階建 築3年,和歌山県和歌山市黒田,ＪＲ和歌山線/和歌山駅 歩10分,ＪＲ阪和線/紀伊中ノ島駅 歩13分,南海本線/和歌山市駅 歩37分,築3年,3階建,3階,7.6万円,5000円,7.6万円,7.6万円,1LDK,39.88m2,https://suumo.jp/chintai/jnc_000059347673/?bc=100345325620
賃貸アパート,レ・クロ　II,和歌山県和歌山市鳴神,ＪＲ阪和線/和歌山駅 歩21分,わかやま電鉄貴志川線/日前宮駅 歩16分,,築3年,2階建,1階,7万円,2800円,-,7万円,1LDK,50.08m2,https://suumo.jp/chintai/jnc_000084800822/?bc=100346472953
賃貸アパート,Ｍ　トゥルケーゼ,和歌山県和歌山市今福４,南海和歌山港線/和歌山港駅 歩28分,ＪＲ紀勢本線/宮前駅 歩35分,南海本線/和歌山市駅 歩38分,築16年,2階建,1階,4.1万円,5300円,-,-,1K,32m2,https://suumo.jp/chintai/jnc_000082781226/?bc=100330239587
賃貸アパート,Ｍ　トゥルケーゼ,和歌山県和歌山市今福４,南海和歌山港線/和歌山港駅 歩28分,ＪＲ紀勢本線/宮前駅 歩35分,南海本線/和歌山市駅 歩38分,築16年,2階建,1階,4.1万円,5300円,-,-,1K,32m2,https://suumo.jp/chintai/jnc_000083419734/?bc=100346474928
賃貸アパート,南海和歌山港線 和歌山港駅 2階建 築16年,和歌山県和歌山市今福４,南海和歌山港線/和歌山港駅 歩29分,ＪＲ紀勢本線/宮前駅 歩36分,南海和歌山港線/和歌山市駅 歩41分,築16年,2階建,1階,4.1万円,5300円,-,-,1K,32m2,https://suumo.jp/chintai/jnc_000083445815/?bc=100334419119
賃貸アパート,南海和歌山港線 和歌山港駅 2階建 築16年,和歌山県和歌山市今福４,南海和歌山港線/和歌山港駅 歩29分,ＪＲ紀勢本線/宮前駅 歩36分,南海和歌山港線/和歌山市駅 歩41分,築16年,2階建,1階,4.1万円,5300円,-,-,1K,32m2,https://suumo.jp/chintai/jnc_000082806870/?bc=100331013468
賃貸アパート,ＪＲ紀勢本線 紀三井寺駅 2階建 築20年,和歌山県和歌山市布引,ＪＲ紀勢本線/紀三井寺駅 歩28分,ＪＲ紀勢本線/黒江駅 歩30分,ＪＲ紀勢本線/海南駅 歩49分,築20年,2階建,1階,4.9万円,3900円,-,-,2DK,44.34m2,https://suumo.jp/chintai/jnc_000083747797/?bc=100340572505
賃貸アパート,ジョイリバーII,和歌山県和歌山市布引,ＪＲ紀勢本線/紀三井寺駅 歩28分,ＪＲ紀勢本線/黒江駅 歩30分,ＪＲ紀勢本線/海南駅 歩49分,築20年,2階建,1階,4.9万円,3900円,-,-,2DK,44.34m2,https://suumo.jp/chintai/jnc_000083739548/?bc=100340507953
賃貸アパート,ＪＲ阪和線 六十谷駅 2階建 築11年,和歌山県和歌山市田屋,ＪＲ阪和線/六十谷駅 歩22分,ＪＲ阪和線/紀伊駅 歩35分,ＪＲ和歌山線/田井ノ瀬駅 歩35分,築11年,2階建,2階,6.7万円,3000円,6.7万円,-,2LDK,54.48m2,https://suumo.jp/chintai/jnc_000065876775/?bc=100323232337
賃貸マンション,サンコープラザ南出島,和歌山県和歌山市南出島,ＪＲ阪和線/和歌山駅 歩26分,ＪＲ紀勢本線/宮前駅 歩7分,わかやま電鉄貴志川線/神前駅 歩16分,築33年,3階建,1階,3.2万円,3000円,-,-,ワンルーム,24.6m2,https://suumo.jp/chintai/jnc_000078780053/?bc=100346688740
賃貸マンション,サンコープラザ南出島,和歌山県和歌山市南出島,ＪＲ阪和線/和歌山駅 歩26分,ＪＲ紀勢本線/宮前駅 歩7分,わかやま電鉄貴志川線/神前駅 歩16分,築33年,3階建,2階,3.3万円,3000円,-,-,ワンルーム,24.6m2,https://suumo.jp/chintai/jnc_000083035598/?bc=100346473769
賃貸マンション,サンコープラザ南出島,和歌山県和歌山市南出島,ＪＲ阪和線/和歌山駅 歩26分,ＪＲ紀勢本線/宮前駅 歩7分,わかやま電鉄貴志川線/神前駅 歩16分,築33年,3階建,2階,3.3万円,3000円,-,-,ワンルーム,24.6m2,https://suumo.jp/chintai/jnc_000069115819/?bc=100311875577
賃貸マンション,サンコープラザ南出島,和歌山県和歌山市南出島,ＪＲ阪和線/和歌山駅 歩26分,ＪＲ紀勢本線/宮前駅 歩7分,わかやま電鉄貴志川線/神前駅 歩16分,築33年,3階建,2階,3.3万円,3000円,-,-,ワンルーム,24.6m2,https://suumo.jp/chintai/jnc_000067953294/?bc=100334942505
賃貸マンション,サンコープラザ南出島,和歌山県和歌山市南出島,ＪＲ阪和線/和歌山駅 歩26分,ＪＲ紀勢本線/宮前駅 歩7分,わかやま電鉄貴志川線/神前駅 歩16分,築33年,3階建,2階,3.3万円,3000円,-,-,ワンルーム,24.6m2,https://suumo.jp/chintai/jnc_000079905525/?bc=100313814915
賃貸マンション,サンコープラザ南出島,和歌山県和歌山市南出島,ＪＲ阪和線/和歌山駅 歩26分,ＪＲ紀勢本線/宮前駅 歩7分,わかやま電鉄貴志川線/神前駅 歩16分,築33年,3階建,3階,3.5万円,3000円,-,-,ワンルーム,24.6m2,https://suumo.jp/chintai/jnc_000080445455/?bc=100346476793
賃貸マンション,ＪＲ紀勢本線 宮前駅 3階建 築33年,和歌山県和歌山市南出島,ＪＲ紀勢本線/宮前駅 歩10分,わかやま電鉄貴志川線/田中口駅 歩14分,わかやま電鉄貴志川線/神前駅 歩23分,築33年,3階建,1階,3.2万円,3000円,-,-,ワンルーム,24.6m2,https://suumo.jp/chintai/jnc_000078780054/?bc=100346478565
賃貸マンション,ＪＲ紀勢本線 宮前駅 3階建 築33年,和歌山県和歌山市南出島,ＪＲ紀勢本線/宮前駅 歩10分,わかやま電鉄貴志川線/田中口駅 歩14分,わかやま電鉄貴志川線/神前駅 歩23分,築33年,3階建,2階,3.3万円,3000円,-,-,1K,24.6m2,https://suumo.jp/chintai/jnc_000082868328/?bc=100346479401
賃貸マンション,ＪＲ紀勢本線 宮前駅 3階建 築33年,和歌山県和歌山市南出島,ＪＲ紀勢本線/宮前駅 歩10分,わかやま電鉄貴志川線/田中口駅 歩14分,わかやま電鉄貴志川線/神前駅 歩23分,築33年,3階建,2階,3.3万円,3000円,-,-,ワンルーム,24.6m2,https://suumo.jp/chintai/jnc_000083336999/?bc=100346478073
賃貸マンション,ＪＲ紀勢本線 宮前駅 3階建 築33年,和歌山県和歌山市南出島,ＪＲ紀勢本線/宮前駅 歩10分,わかやま電鉄貴志川線/田中口駅 歩14分,わかやま電鉄貴志川線/神前駅 歩23分,築33年,3階建,2階,3.3万円,3000円,-,-,ワンルーム,24.6m2,https://suumo.jp/chintai/jnc_000082696709/?bc=100346478812
賃貸マンション,ＪＲ紀勢本線 宮前駅 3階建 築33年,和歌山県和歌山市南出島,ＪＲ紀勢本線/宮前駅 歩10分,わかやま電鉄貴志川線/田中口駅 歩14分,わかやま電鉄貴志川線/神前駅 歩23分,築33年,3階建,3階,3.5万円,3000円,-,-,ワンルーム,24.6m2,https://suumo.jp/chintai/jnc_000083435715/?bc=100346477822
賃貸マンション,ベレオ　クシモト,和歌山県和歌山市小雑賀,ＪＲ紀勢本線/宮前駅 歩15分,わかやま電鉄貴志川線/神前駅 歩33分,ＪＲ阪和線/和歌山駅 歩39分,築4年,3階建,2階,8.5万円,7000円,3万円,23万円,2LDK,61.66m2,https://suumo.jp/chintai/jnc_000085053664/?bc=100344163141
賃貸アパート,ＪＲ紀勢本線 宮前駅 3階建 築4年,和歌山県和歌山市小雑賀,ＪＲ紀勢本線/宮前駅 歩15分,ＪＲ紀勢本線/紀三井寺駅 歩30分,ＪＲ阪和線/和歌山駅 歩39分,築4年,3階建,2階,8.5万円,7000円,3万円,23万円,2LDK,61.66m2,https://suumo.jp/chintai/jnc_000085053665/?bc=100344948895
賃貸アパート,アーデン西浜　V,和歌山県和歌山市西浜,南海和歌山港線/和歌山市駅 バス20分 (バス停)栗栖停 歩6分,,,築15年,2階建,1階,4.9万円,3700円,-,4.9万円,1LDK,37.13m2,https://suumo.jp/chintai/jnc_000081747728/?bc=100333771993
賃貸アパート,アーデン西浜　V,和歌山県和歌山市西浜,南海和歌山港線/和歌山市駅 バス20分 (バス停)栗栖停 歩6分,,,築15年,2階建,2階,5.6万円,3700円,-,5.6万円,1LDK,46.09m2,https://suumo.jp/chintai/jnc_000080617879/?bc=100317954792
賃貸マンション,グリーンプラザ本町,和歌山県和歌山市本町６,ＪＲ紀勢本線/紀和駅 歩10分,,,築44年,3階建,3階,6万円,3000円,-,6万円,2DK,55.09m2,https://suumo.jp/chintai/jnc_000054550636/?bc=100346470476
賃貸マンション,ＪＲ紀勢本線 紀和駅 3階建 築44年,和歌山県和歌山市本町６,ＪＲ紀勢本線/紀和駅 歩10分,南海本線/和歌山市駅 歩11分,ＪＲ阪和線/紀伊中ノ島駅 歩21分,築44年,3階建,3階,6万円,3000円,-,6万円,2LDK,55.09m2,https://suumo.jp/chintai/jnc_000054565655/?bc=100331013477
賃貸マンション,嶋ビル,和歌山県和歌山市本町３,ＪＲ阪和線/和歌山駅 歩24分,ＪＲ紀勢本線/和歌山市駅 歩10分,ＪＲ紀勢本線/紀和駅 歩17分,築47年,4階建,2階,5.5万円,-,5.5万円,5.5万円,2LDK,55m2,https://suumo.jp/chintai/jnc_000023246210/?bc=100256808178
賃貸マンション,嶋ビル,和歌山県和歌山市本町３,ＪＲ阪和線/和歌山駅 歩24分,ＪＲ紀勢本線/和歌山市駅 歩10分,ＪＲ紀勢本線/紀和駅 歩17分,築47年,4階建,3階,5.9万円,-,5.9万円,5.9万円,2LDK,55m2,https://suumo.jp/chintai/jnc_000034273287/?bc=100256819108
賃貸マンション,嶋ビル,和歌山県和歌山市本町３,ＪＲ阪和線/和歌山駅 歩24分,ＪＲ紀勢本線/和歌山市駅 歩10分,ＪＲ紀勢本線/紀和駅 歩17分,築47年,4階建,4階,5.9万円,-,5.9万円,5.9万円,2LDK,55m2,https://suumo.jp/chintai/jnc_000070661391/?bc=100333771895
賃貸マンション,南海本線 和歌山市駅 4階建 築47年,和歌山県和歌山市本町３,南海本線/和歌山市駅 歩12分,ＪＲ紀勢本線/紀和駅 歩16分,ＪＲ阪和線/和歌山駅 歩24分,築47年,4階建,2階,5.5万円,-,5.5万円,5.5万円,2LDK,55m2,https://suumo.jp/chintai/jnc_000068908702/?bc=100255996391
賃貸マンション,南海本線 和歌山市駅 4階建 築47年,和歌山県和歌山市本町３,南海本線/和歌山市駅 歩12分,ＪＲ紀勢本線/紀和駅 歩16分,ＪＲ阪和線/和歌山駅 歩24分,築47年,4階建,3階,5.9万円,-,5.9万円,5.9万円,2LDK,55m2,https://suumo.jp/chintai/jnc_000068788528/?bc=100255996363
賃貸アパート,ハピネスＹ　II,和歌山県和歌山市善明寺,南海本線/紀ノ川駅 バス5分 (バス停)公民館前 歩4分,ＪＲ阪和線/六十谷駅 バス10分 (バス停)公民館前 歩4分,,築24年,2階建,1階,4.3万円,4400円,4.3万円,-,2DK,46.92m2,https://suumo.jp/chintai/jnc_000080901109/?bc=100319402829
